"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982992,-40.3775625252671,0,0,"1266","CNN3"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757454,44.215397484349,0,0,"54855","TENT5C"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.057553366310631,-40.2016026751242,0,0,"1465","CSRP1"
"ENSG00000150938",7442.98631416393,-2.05963137024162,0.0538449075112247,-38.2511822461996,0,0,"51232","CRIM1"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758774,-43.7365579185558,0,0,"2034","EPAS1"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533387,-37.550372031658,0,0,"2317","FLNB"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655209,48.4207795565323,0,0,"2150","F2RL1"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.061708615181297,38.7674871448911,0,0,"6659","SOX4"
"ENSG00000124762",28106.1191885778,1.83225777686374,0.0388966414279813,47.1058093860429,0,0,"1026","CDKN1A"
"ENSG00000106366",43719.1260988373,-1.84404649934341,0.0419164996609011,-43.9933323216753,0,0,"5054","SERPINE1"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287921851,41.0015774395634,0,0,"1287","COL4A5"
"ENSG00000122861",28007.1433373973,2.26252546550257,0.0552183311595148,40.9741732137211,0,0,"5328","PLAU"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652842,-42.1726838115225,0,0,"4288","MKI67"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135821,38.2834110933145,0,0,"6515","SLC2A3"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461103,-38.326182899753,0,0,"10376","TUBA1B"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178476,44.006024968628,0,0,"22822","PHLDA1"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844406008,44.7421102013938,0,0,"10257","ABCC4"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931794,38.590120216757,0,0,"1734","DIO2"
"ENSG00000128917",1307.34250385583,3.85825311457409,0.0865185432075104,44.594522417238,0,0,"54567","DLL4"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678258,-41.3963130507156,0,0,"8482","SEMA7A"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544529,-42.0008730342114,0,0,"7153","TOP2A"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638621,-52.9712609892491,0,0,"558","AXL"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518001015,37.7738135764852,0,0,"6526","SLC5A3"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275896065,-37.3387475440679,3.86082291173685e-305,2.37086700304907e-302,"2023","ENO1"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294289,37.2705374042566,4.92673245711972e-304,2.90440731812122e-301,"2149","F2R"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075255,36.9471519148908,8.09231108419457e-299,4.58709541380229e-296,"390","RND3"
"ENSG00000104368",13214.4968037918,2.02763709005455,0.0550460855246574,36.835263956168,5.03520683588998e-297,2.74847697582765e-294,"5327","PLAT"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.069361389322583,36.6909753183934,1.01726618411109e-294,5.354453221939e-292,"9162","DGKI"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898186,-36.4661327225907,3.81873143504702e-291,1.94070565136976e-288,"11343","MGLL"
"ENSG00000104081",804.838487338129,4.43413656938239,0.121636384406071,36.4540313413088,5.93856217997405e-291,2.91741764694858e-288,"90427","BMF"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307423,-36.2808238848641,3.24649821955572e-288,1.5434480890262e-285,"11245","GPR176"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941896,36.2707029432335,4.68797353191054e-288,2.15910480979055e-285,"283209","PGM2L1"
"ENSG00000091527",2814.15907315816,-1.81023338577257,0.0499749029758702,-36.2228494299752,2.65984835177606e-287,1.18790439419623e-284,"55573","CDV3"
"ENSG00000033867",3157.52042924196,1.93501315031032,0.0535351847027511,36.1446992488079,4.50689778576074e-286,1.95360763431005e-283,"9497","SLC4A7"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729354,-36.1399178936216,5.35778353341663e-286,2.21230320942017e-283,"1063","CENPF"
"ENSG00000101825",1024.97040543336,3.2876630415376,0.0909710037522485,36.1396808426041,5.40391610388969e-286,2.21230320942017e-283,"25878","MXRA5"
"ENSG00000198959",5110.85796803933,-1.74624587694994,0.0487932042517388,-35.788710820067,1.65485249252976e-280,6.5916800094334e-278,"7052","TGM2"
"ENSG00000164938",1395.92210584831,2.31778202055932,0.0656155292094829,35.3236809713081,2.54305707488824e-273,9.86304609729022e-271,"94241","TP53INP1"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.0653960004274724,-35.2491412924547,3.53646850171687e-272,1.33642237893085e-269,"10979","FERMT2"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896549,-35.1930555341753,2.55367981602499e-271,9.40903328214408e-269,"142","PARP1"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.0806594353570001,35.1779683944855,4.3440722586494e-271,1.56153504751158e-268,"4311","MME"
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695775,35.1424932628334,1.51368681107182e-270,5.31159910037536e-268,"4013","VWA5A"
"ENSG00000088325",1049.74978195443,-3.01204014087113,0.0861136723498782,-34.9774903180678,4.94847109753733e-268,1.69605969850012e-265,"22974","TPX2"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.06906807218876,-34.9512940253643,1.23760619418519e-267,4.14541820225029e-265,"10313","RTN3"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470136,34.8366769554071,6.77554401264025e-266,2.21906594796204e-263,"63895","PIEZO2"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.049751463084192,34.8299159162976,8.57647267239213e-266,2.7478272662112e-263,"6840","SVIL"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.0588365433182848,34.245217037976,5.13836406692276e-257,1.61125977911293e-254,"5069","PAPPA"
"ENSG00000198901",744.768135087352,-3.17652098959839,0.0928701287754363,-34.2039042206924,2.11545038706609e-256,6.49531412595417e-254,"9055","PRC1"
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807042,-33.8997479311385,6.7188789305634e-252,2.02087423833966e-249,"4082","MARCKS"
"ENSG00000168542",62749.3849250663,1.40989019840233,0.041806348600496,33.7243085225004,2.54545118021999e-249,7.50297189881643e-247,"1281","COL3A1"
"ENSG00000146072",1758.22981855472,2.05910888555034,0.061132127679759,33.6829252261101,1.02810293755143e-248,2.97101590071234e-246,"27242","TNFRSF21"
"ENSG00000145632",3262.15452178144,1.54674961547204,0.0460243819592605,33.6071784047241,1.31769411300978e-247,3.73464919952656e-245,"10769","PLK2"
"ENSG00000140943",1848.88777327798,-1.89361784327075,0.0564684070240161,-33.5341112503029,1.53477285999457e-246,4.26782686992451e-244,"8720","MBTPS1"
"ENSG00000102024",3591.26703399212,-1.7035465919333,0.0509601087578361,-33.4290219047334,5.19390786050613e-245,1.41755211200258e-242,"5358","PLS3"
"ENSG00000135046",4581.91768778281,-1.46401591144951,0.0439329001157957,-33.323907768227,1.73984876194262e-243,4.66216200972916e-241,"301","ANXA1"
"ENSG00000081923",1549.06690179341,-2.52988619989441,0.07600921395054,-33.2839410961497,6.59322840134164e-243,1.73519643176738e-240,"5205","ATP8B1"
"ENSG00000163346",2917.79069939981,1.81056662201436,0.0547035645119088,33.0977814365316,3.19851269740547e-240,8.27011932181786e-238,"57326","PBXIP1"
"ENSG00000187678",2363.67043987816,1.72415483189412,0.0522701778398971,32.9854403245994,1.31369113068425e-238,3.33813446276283e-236,"81848","SPRY4"
"ENSG00000163017",4893.9021785664,-1.87095249165046,0.056796457954537,-32.94135865212,5.62520534705854e-238,1.40515722720252e-235,"72","ACTG2"
"ENSG00000152894",4900.8667898464,1.68614754696903,0.0515037594735055,32.7383391854418,4.44954348200444e-235,1.09295619729636e-232,"5796","PTPRK"
"ENSG00000143341",2279.33849385387,2.05720946158247,0.0629925114453703,32.6580003619409,6.1693982737349e-234,1.490567078005e-231,"83872","HMCN1"
"ENSG00000115461",200904.539632615,1.27117471085653,0.0389873664647956,32.6047852450962,3.50828510215063e-233,8.33953319927354e-231,"3488","IGFBP5"
"ENSG00000104321",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469497e-233,2.28548149971769e-230,"8989","TRPA1"
"ENSG00000113721",11145.9451572206,1.38865862865083,0.0428974821222039,32.3715649486116,6.89943142121013e-230,1.58880969196554e-227,"5159","PDGFRB"
"ENSG00000164924",9585.69435022083,-1.33707455466228,0.0417126480701013,-32.0544155435834,1.9053597070656e-225,4.32018328657429e-223,"7534","YWHAZ"
"ENSG00000173334",1074.47707273372,2.41256199115946,0.0759164041352458,31.7791921079593,1.25506730582099e-221,2.80260332624087e-219,"10221","TRIB1"
"ENSG00000160014",4226.55595021453,-1.42461130954274,0.0449230268066211,-31.7122734332935,1.05241788839119e-220,2.31500519986707e-218,"808","CALM3"
"ENSG00000148175",3890.72249473237,1.38275935255238,0.043742517947325,31.611334176453,2.57952646109722e-219,5.5907442623016e-217,"2040","STOM"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704428,31.5755460911266,7.99970833024965e-219,1.70869132422057e-216,"7857","SCG2"
"ENSG00000153234",635.93920101828,4.32640777580259,0.137032426265837,31.5721460511072,8.90724413016588e-219,1.87535662843407e-216,"4929","NR4A2"
"ENSG00000164761",5291.78842553364,1.48922391534197,0.0474102568555269,31.4114289631476,1.41265544485539e-216,2.93235435863081e-214,"4982","TNFRSF11B"
"ENSG00000134057",780.375869741297,-2.6697590969072,0.0850915116619643,-31.3751518190572,4.41710004920056e-216,9.04155840626638e-214,"891","CCNB1"
"ENSG00000135074",13374.6004179129,1.14188898914371,0.0363987409630124,31.3716617369835,4.92877346139914e-216,9.95072099645212e-214,"8728","ADAM19"
"ENSG00000128591",23487.8410667789,-1.33084139992717,0.0432786266468114,-30.7505460094175,1.20240107733855e-207,2.39472798348859e-205,"2318","FLNC"
"ENSG00000127920",2352.92723869813,2.10488854243808,0.06859105373417,30.6875084700658,8.35466517576473e-207,1.64174740480561e-204,"2791","GNG11"
"ENSG00000105088",793.128211520276,2.86562585502177,0.0934444338019196,30.6666297651953,1.58631168030575e-206,3.0761923084666e-204,"93145","OLFM2"
"ENSG00000092820",1475.49048809515,-1.91025660589575,0.0625712946278285,-30.5292805152567,1.06537508803602e-204,2.03915559058114e-202,"7430","EZR"
"ENSG00000183287",603.48721362449,-3.436109185756,0.112997107887576,-30.4088241725149,4.19913010100847e-203,7.93420249085421e-201,"147372","CCBE1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.33899351160355e-200,"9518","GDF15"
"ENSG00000171246",11339.2021259297,1.74021926020602,0.0574719541070809,30.2794517298589,2.13754237993889e-201,3.93788744944242e-199,"4884","NPTX1"
"ENSG00000076513",2351.57847713981,-1.94451433589439,0.0645262741259586,-30.1352334724704,1.67481171912814e-199,3.0473302612976e-197,"88455","ANKRD13A"
"ENSG00000176014",5059.66070673934,-1.58287883735277,0.0526625745786287,-30.0569968334804,1.76884785986645e-198,3.17918045837948e-196,"84617","TUBB6"
"ENSG00000068489",527.868372422254,-3.28311258391777,0.10940184626064,-30.0096634209999,7.34104325635235e-198,1.30352163267616e-195,"55771","PRR11"
"ENSG00000089159",2841.04018824034,-1.52007282825454,0.0507616642850009,-29.9452913860369,5.06700387289953e-197,8.89017893795159e-195,"5829","PXN"
"ENSG00000112984",587.875352632019,-3.36365680001687,0.112773759026449,-29.8265911241638,1.76651997413401e-195,3.06293780926906e-193,"10112","KIF20A"
"ENSG00000003436",3855.53263789867,1.53740403929091,0.051564923156631,29.8149196231898,2.50291232408612e-195,4.28929323632339e-193,"7035","TFPI"
"ENSG00000116729",14027.992136521,1.67569487585242,0.0564166010544858,29.7021593738707,7.20107911140195e-194,1.21908423503009e-191,"79971","WLS"
"ENSG00000171617",3172.76514957676,1.7230403058603,0.0580113152201234,29.7017969567186,7.27910250255447e-194,1.21908423503009e-191,"8507","ENC1"
"ENSG00000173546",2782.7113944163,-1.70836053260097,0.057594129565311,-29.6620601004781,2.3707935727968e-193,3.92592760403138e-191,"1464","CSPG4"
"ENSG00000122641",8425.96553258608,1.39132775322116,0.0469878372112608,29.6103808090942,1.09851400239629e-192,1.79887770747961e-190,"3624","INHBA"
"ENSG00000133818",917.65645300902,-2.58022994832454,0.0872303197088418,-29.579508099212,2.74196632629083e-192,4.4407801886675e-190,"22800","RRAS2"
"ENSG00000111615",1215.27891511062,1.95677043075851,0.0663760811211296,29.4800536233466,5.1878499628617e-191,8.3107100818104e-189,"11103","KRR1"
"ENSG00000064666",5624.42477846777,-1.64273183329817,0.0557716982088924,-29.4545779679387,1.099984397426e-190,1.74317957518973e-188,"1265","CNN2"
"ENSG00000134250",3989.90689953644,-1.35592776101052,0.0460501458481079,-29.4445921079799,1.47655804400543e-190,2.31505451622894e-188,"4853","NOTCH2"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.105364403559751,-29.4263407761989,2.52835481397413e-190,3.92240981561587e-188,"259266","ASPM"
"ENSG00000116991",845.465812777274,2.42014865392117,0.0824494797375098,29.3531100696581,2.18081805476643e-189,3.34801005116121e-187,"57568","SIPA1L2"
"ENSG00000156011",1865.6956706154,1.74119412410088,0.0593370019850985,29.3441539991884,2.83730011001679e-189,4.31094113622963e-187,"23362","PSD3"
"ENSG00000159399",1648.34458773227,1.92240040793008,0.0659490989517701,29.1497600192532,8.41273252950089e-187,1.26517195938555e-184,"3099","HK2"
"ENSG00000157557",2128.88768598769,1.84664194734667,0.0635784337831433,29.0450996897044,1.77448669756231e-185,2.64165504532053e-183,"2114","ETS2"
"ENSG00000103257",3712.52147667185,-1.50764330929452,0.0520551632799898,-28.9624162964458,1.9579524873785e-184,2.88563037589844e-182,"8140","SLC7A5"
"ENSG00000065911",1563.07540926849,-1.94825249993054,0.0673374974448319,-28.9326537792216,4.6388964435457e-184,6.76911443415609e-182,"10797","MTHFD2"
"ENSG00000136153",4620.22110366109,-1.40313136367342,0.0486375327335084,-28.8487364554728,5.2552047013135e-183,7.59325557725081e-181,"4008","LMO7"
"ENSG00000135318",10396.875971113,-1.1809878742049,0.0409964043182739,-28.8071086682713,1.74737916460627e-182,2.50027904155021e-180,"4907","NT5E"
"ENSG00000171444",1285.81453923875,1.85633936536552,0.0644924712570442,28.7838150590757,3.42011533536347e-182,4.84669805890258e-180,"4163","MCC"
"ENSG00000145147",601.510428483162,-2.6863081902841,0.093436167795466,-28.7501965637599,9.00647321379017e-182,1.26416573547466e-179,"9353","SLIT2"
"ENSG00000182481",2566.38058699848,-1.6137581642745,0.0561603398586656,-28.7348361554741,1.40128319741459e-181,1.94831243051852e-179,"3838","KPNA2"
"ENSG00000108829",3850.57518186778,-1.47517609593281,0.0513457658429187,-28.730238447427,1.59943723062735e-181,2.20303793504541e-179,"55379","LRRC59"
"ENSG00000088448",1041.5088322989,2.36777272044306,0.082439127829417,28.7214673758128,2.05836700245461e-181,2.80890860020148e-179,"55608","ANKRD10"
"ENSG00000108932",593.620514665934,3.86329422850941,0.135042980302052,28.6078863178844,5.36043432743835e-180,7.24789735025564e-178,"9120","SLC16A6"
"ENSG00000100345",41759.3349472728,-1.22519578050119,0.0428453768679337,-28.5957522156409,7.5876779851958e-180,1.01661089223469e-177,"4627","MYH9"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.0890287121791473,-28.4493217297199,4.96814084857391e-178,6.59643782218759e-176,"6241","RRM2"
"ENSG00000038427",13753.9971136825,1.28379347829211,0.0451331145487024,28.4446019542211,5.68297280106797e-178,7.47818331626247e-176,"1462","VCAN"
"ENSG00000141429",3588.58297366052,1.50607086816904,0.0530931788051738,28.3665604897306,5.2301668188088e-177,6.82143350226586e-175,"2589","GALNT1"
"ENSG00000155903",1023.35613415789,2.05089158351226,0.0724505356556411,28.3074730221484,2.79630988072174e-176,3.6150890370243e-174,"5922","RASA2"
"ENSG00000091039",4444.70184434491,1.57257792716769,0.0556189553840293,28.2741363319321,7.18932920159562e-176,9.21359424114055e-174,"114882","OSBPL8"
"ENSG00000147065",17820.4971549208,-1.0301253064275,0.0365228229247455,-28.204974970036,5.08117177319089e-175,6.45571634424891e-173,"4478","MSN"
"ENSG00000117399",548.054729960495,-3.23340373493713,0.114651721709679,-28.2019640588107,5.53209469853245e-175,6.96854800572404e-173,"991","CDC20"
"ENSG00000135926",1251.33626199858,-1.85342990574707,0.0659124213805936,-28.1195845475762,5.64500035754581e-174,7.05050976860256e-172,"64114","TMBIM1"
"ENSG00000173801",2853.13714423843,1.54852031437219,0.0552347199536792,28.0352704905684,6.04059391057922e-173,7.48119941631231e-171,"3728","JUP"
"ENSG00000163661",1909.80217231797,-1.64964804939515,0.0590533744179046,-27.9348651225422,1.00678481504854e-171,1.23649955034878e-169,"5806","PTX3"
"ENSG00000185112",747.773002441521,2.65534841445794,0.0952230065994039,27.8855762833534,3.99157446193633e-171,4.86180367107584e-169,"131583","FAM43A"
"ENSG00000103449",1051.52143130918,2.35381530129993,0.0844340380045339,27.8775640361241,4.9921487128322e-171,6.03067932210827e-169,"6299","SALL1"
"ENSG00000170759",4331.58598921615,-1.28570159441468,0.0461355798462162,-27.8678971566047,6.53815283453921e-171,7.83408914434462e-169,"3799","KIF5B"
"ENSG00000057657",689.791384929011,2.83420145486982,0.101922368702904,27.8074527793922,3.52495005100695e-170,4.189573697721e-168,"639","PRDM1"
"ENSG00000109685",1268.17937848349,-1.8911024176115,0.0682347232550507,-27.7146638456034,4.64845066222063e-169,5.48070926878461e-167,"7468","NSD2"
"ENSG00000172795",852.701537725169,2.13206737939771,0.0770835743691411,27.6591660006266,2.16519900484989e-168,2.53259547091093e-166,"167227","DCP2"
"ENSG00000184838",1048.67798618006,2.27794331497045,0.0824087394895179,27.6420113823024,3.48151090045877e-168,4.04019745283161e-166,"51334","PRR16"
"ENSG00000166510",570.336073336896,2.83088461025262,0.102927884463345,27.5035732543475,1.59110643180967e-166,1.83200989000085e-164,"80323","CCDC68"
"ENSG00000076706",1719.55770882045,-1.57938242129601,0.0575011783232886,-27.4669575015708,4.35860484928383e-166,4.97962157122054e-164,"4162","MCAM"
"ENSG00000102225",1340.69055489962,-1.74229970819447,0.063497154546851,-27.4390202305667,9.39453901888982e-166,1.06505166200306e-163,"5127","CDK16"
"ENSG00000197565",563.648360733133,3.41302170307903,0.12460504811096,27.3907177503736,3.53780645395925e-165,3.98016729148485e-163,"1288","COL4A6"
"ENSG00000161800",563.923688119321,-2.79230082382021,0.102045843626785,-27.3631999558214,7.5222319699079e-165,8.39868596761383e-163,"29127","RACGAP1"
"ENSG00000113387",1168.42585268541,-2.03750868096321,0.0744625124097018,-27.3628785146624,7.58877530184845e-165,8.40927596982275e-163,"10923","SUB1"
"ENSG00000166851",502.683929770066,-3.32923741741875,0.121688979500921,-27.3585778356664,8.53774309067058e-165,9.3902431097241e-163,"5347","PLK1"
"ENSG00000152223",2690.47150334747,-1.50606742291765,0.0550770508526003,-27.3447361397083,1.24733546114374e-164,1.36172074269158e-162,"57724","EPG5"
"ENSG00000076641",954.690284174,2.03263249197315,0.0744909387905101,27.2869764427254,6.05493783111384e-164,6.56159365845263e-162,"55824","PAG1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268817e-164,6.76480532250352e-162,"55117","SLC6A15"
"ENSG00000136378",1190.06353560081,2.1313694356951,0.0788327305720991,27.0366054838832,5.48949071183026e-161,5.86261696456191e-159,"11173","ADAMTS7"
"ENSG00000089685",509.548185635596,-3.097661031905,0.114589407045888,-27.0326997212274,6.10171879427077e-161,6.46957781222752e-159,"332","BIRC5"
"ENSG00000111206",489.63700653501,-3.02314009593891,0.1119288253649,-27.0094864846759,1.14349478659973e-160,1.20377329749335e-158,"2305","FOXM1"
"ENSG00000174574",1409.88985133804,-1.74444146026819,0.0649482701026594,-26.8589364660655,6.63278235121081e-159,6.9329039923507e-157,"79647","AKIRIN1"
"ENSG00000167553",3002.80270522025,-1.43654751183808,0.0535105886137021,-26.8460420461574,9.38160184513514e-159,9.73704563335223e-157,"84790","TUBA1C"
"ENSG00000075426",1241.54577193998,-2.02417343922895,0.0754066735931277,-26.8434256913492,1.00651912785627e-158,1.03734817526893e-156,"2355","FOSL2"
"ENSG00000113319",1375.65463563177,1.72034861201094,0.0641522047598398,26.8166716709306,2.0653589881534e-158,2.113837553292e-156,"5924","RASGRF2"
"ENSG00000205542",10772.7240037773,-1.36860141667853,0.0510598841190713,-26.8038488588607,2.91410850482684e-158,2.96194007890606e-156,"7114","TMSB4X"
"ENSG00000147883",1092.60954361111,2.17982979420979,0.0813913269093579,26.7820894066191,5.2245786892087e-158,5.27396169325738e-156,"1030","CDKN2B"
"ENSG00000119326",1060.1999959954,-2.06902763036397,0.077586805951706,-26.6672613337356,1.12888645629007e-156,1.13180466617708e-154,"8727","CTNNAL1"
"ENSG00000100106",1548.43376339178,-1.54579702553892,0.0580504853328743,-26.6284944333363,3.17636687954634e-156,3.16306047775364e-154,"11078","TRIOBP"
"ENSG00000125384",562.779146692896,-2.72049307005402,0.102236932877151,-26.6096898008764,5.24358146552934e-156,5.18657071402492e-154,"5732","PTGER2"
"ENSG00000125845",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382401e-156,7.95768161788922e-154,"650","BMP2"
"ENSG00000134333",9887.50008844397,-1.01647209043677,0.0383140635560627,-26.5299995900833,4.37001752605467e-155,4.26525286748302e-153,"3939","LDHA"
"ENSG00000157227",22662.7967620428,1.09975936182814,0.0415181804493352,26.4886213684191,1.31081166250815e-154,1.27096988697666e-152,"4323","MMP14"
"ENSG00000167900",535.537322697115,-2.99316984531097,0.113333402870144,-26.4103059601988,1.04332687751017e-153,1.00500336736895e-151,"7083","TK1"
"ENSG00000091409",2615.20252718009,-1.34488157112989,0.0509516581236691,-26.3952464091671,1.55363482856933e-153,1.48684870801654e-151,"3655","ITGA6"
"ENSG00000091844",494.500786591075,2.80821461979186,0.106412973431442,26.3897768217245,1.79527827128623e-153,1.7070200749817e-151,"26575","RGS17"
"ENSG00000169439",2385.18491369971,1.32446365486612,0.0502228270275139,26.3717463403748,2.89070201984908e-153,2.73097220311126e-151,"6383","SDC2"
"ENSG00000100647",1393.45153066727,1.71995059227826,0.0652353704809754,26.3653073416645,3.42646730970298e-153,3.21651434461163e-151,"9766","SUSD6"
"ENSG00000139318",1424.14713666972,1.67884326172025,0.0638947453537343,26.2751381576971,3.69002687418455e-152,3.44200101719822e-150,"1848","DUSP6"
"ENSG00000071127",10996.1867655617,-1.00330193008526,0.0382024978410893,-26.2627311506877,5.11421309790637e-152,4.74045739854994e-150,"9948","WDR1"
"ENSG00000042062",529.580434708431,3.50771136339452,0.13408622928359,26.1601163828374,7.56113412259778e-151,6.96474966867788e-149,"140876","RIPOR3"
"ENSG00000085117",3114.20548141785,1.42947650463429,0.0547746238047362,26.097422589887,3.89985824713906e-150,3.56994477306432e-148,"3732","CD82"
"ENSG00000101290",1758.73428502496,1.54280726947101,0.0591378479276213,26.08832285137,4.94672752410649e-150,4.50030063273342e-148,"8760","CDS2"
"ENSG00000109189",2091.9060865614,1.46011820343235,0.0559766931398626,26.0843955141137,5.48121227264626e-150,4.95595745240863e-148,"64854","USP46"
"ENSG00000117143",1623.79807423536,-1.69881909645385,0.065366067334408,-25.9893116678232,6.5408464863339e-149,5.87798753143835e-147,"6675","UAP1"
"ENSG00000109321",3907.19054249844,7.47916568575078,0.288067503948618,25.9632398074474,1.28882642605824e-148,1.15119538589372e-146,"374","AREG"
"ENSG00000113810",918.429735878976,-1.98566035842832,0.0766078877398265,-25.9197899460688,3.9850794836445e-148,3.53807839939474e-146,"10051","SMC4"
"ENSG00000145386",450.26224000273,-3.10889812507266,0.120040919908216,-25.898652954757,6.89649728877217e-148,6.08626209831881e-146,"890","CCNA2"
"ENSG00000151617",710.546799779895,2.15452232893399,0.0832907838824489,25.8674757098546,1.54742484484146e-147,1.35749686686151e-145,"1909","EDNRA"
